algoritmo,repeticao,semente,valor,iteracoes,pioras_aceitas,talhoes
subida_encosta,1,114031,14.019286,2,0,"(0,3) -> (0,5) -> (1,1) -> (1,6) -> (2,6) -> (3,7) -> (3,9) -> (4,2) -> (4,3) -> (5,0) -> (6,11) -> (8,5) -> (8,6) -> (8,7) -> (11,3)"
subida_encosta,2,114032,13.220088,2,0,"(0,1) -> (1,1) -> (1,6) -> (2,7) -> (4,6) -> (5,3) -> (5,9) -> (6,0) -> (7,1) -> (7,11) -> (8,0) -> (9,7) -> (10,4) -> (10,11) -> (11,3)"
subida_encosta,3,114033,14.255337,2,0,"(0,10) -> (1,5) -> (2,4) -> (5,9) -> (6,4) -> (6,6) -> (7,8) -> (8,6) -> (9,7) -> (10,1) -> (10,8) -> (10,11) -> (11,5) -> (11,7) -> (11,11)"
subida_encosta,4,114034,14.142815,1,0,"(2,0) -> (2,4) -> (4,1) -> (4,3) -> (4,6) -> (4,9) -> (5,1) -> (5,2) -> (5,11) -> (7,1) -> (8,4) -> (8,8) -> (9,2) -> (9,3) -> (11,9)"
subida_encosta,5,114035,14.114991,1,0,"(1,3) -> (1,5) -> (1,6) -> (2,1) -> (2,2) -> (2,3) -> (3,10) -> (4,1) -> (4,8) -> (6,3) -> (8,4) -> (10,6) -> (10,7) -> (11,0) -> (11,5)"
subida_encosta,6,114036,13.86836,1,0,"(3,1) -> (3,6) -> (3,9) -> (4,6) -> (4,8) -> (5,0) -> (5,5) -> (6,8) -> (7,10) -> (8,7) -> (9,3) -> (9,8) -> (9,11) -> (10,5) -> (11,10)"
subida_encosta,7,114037,14.049444,2,0,"(1,4) -> (2,10) -> (3,3) -> (3,5) -> (3,7) -> (4,0) -> (5,4) -> (6,1) -> (6,4) -> (6,6) -> (8,8) -> (9,5) -> (9,6) -> (9,7) -> (10,10)"
subida_encosta,8,114038,14.324419,1,0,"(1,8) -> (2,6) -> (4,6) -> (4,9) -> (5,2) -> (5,4) -> (5,9) -> (5,10) -> (7,3) -> (8,5) -> (9,3) -> (9,8) -> (9,10) -> (11,5) -> (11,11)"
subida_encosta,9,114039,13.77148,1,0,"(0,0) -> (1,6) -> (2,4) -> (3,6) -> (3,7) -> (5,11) -> (6,0) -> (6,6) -> (6,8) -> (7,3) -> (9,9) -> (10,4) -> (11,1) -> (11,4) -> (11,6)"
subida_encosta,10,114040,14.294526,1,0,"(0,6) -> (1,6) -> (1,9) -> (2,2) -> (3,6) -> (4,4) -> (5,2) -> (7,5) -> (7,8) -> (7,10) -> (8,4) -> (9,3) -> (9,9) -> (10,10) -> (11,8)"
