custo,estrategia,fronteira_max,n,nos_expandidos,passos,segundos,situacao
49,BFS,10,12,122,22,0.0003063000003749039,concluiu
135,DFS,38,12,63,54,0.00020670000003519817,concluiu
34,UCS,16,12,119,22,0.0003495999999358901,concluiu
174,BFS,40,40,1289,78,0.0017392999998264713,concluiu
838,DFS,362,40,793,376,0.0013367000001380802,concluiu
119,UCS,72,40,1287,80,0.0027021000000786444,concluiu
423,BFS,102,100,7972,198,0.010480599999937112,concluiu
4655,DFS,1969,100,3314,2102,0.008096300000033807,concluiu
290,UCS,146,100,7968,206,0.018880900000112888,concluiu
875,BFS,195,200,31890,398,0.04226779999999053,concluiu
19600,DFS,8640,200,16924,8860,0.030958000000282482,concluiu
553,UCS,313,200,31890,406,0.0794818999997915,concluiu
1767,BFS,363,400,127569,798,0.1857334000001174,concluiu
70751,DFS,31703,400,69144,32000,0.13775770000029297,concluiu
1093,UCS,604,400,127570,832,0.36641529999997147,concluiu
3500,BFS,754,800,510712,1598,0.8723125999999866,concluiu
298930,DFS,134642,800,256473,135508,0.5861047000003055,concluiu
2168,UCS,1221,800,510710,1646,1.7291935000002923,concluiu
5317,BFS,1100,1200,1149381,2398,2.125670999999784,concluiu
683290,DFS,308636,1200,582186,310714,1.609982200000104,concluiu
3255,UCS,1779,1200,1149379,2478,4.605903900000158,concluiu
7008,BFS,1450,1600,2043695,3198,3.963909500000227,concluiu
1202663,DFS,545107,1600,1003532,546704,2.4692909999998847,concluiu
4364,UCS,2366,1600,2043696,3296,7.864887699999599,concluiu
13976,BFS,2873,3200,8177392,6398,19.16002810000009,concluiu
4770914,DFS,2164363,3200,4081366,2169062,10.87490949999983,concluiu
8650,UCS,4784,3200,8177385,6652,42.382559799999854,concluiu
,BFS,,6400,,,60,tempo > 60s
